subj,observed
1,0.29440526961381464
2,0.4627207304053578
3,0.37371601310412106
4,0.7011539746803384
5,0.446124098951076
6,0.3722745337508494
7,0.5409503815361267
8,0.7341226761697052
9,0.542027201284722
10,0.42372256421413945
11,0.5569101953772335
12,0.5704026454488232
13,0.6293586075644046
14,0.5769035064982618
15,0.6067358766991515
16,0.07930809147506335
17,0.49375276418301267
18,0.36120617723367027
19,0.3596984543680313
20,0.511724104782611
21,0.5172119140965374
22,0.5097905860665145
23,0.6497257005175132
24,0.35583887678013404
25,0.610906949145169
26,0.5049567231181661
27,0.39646626255805184
28,0.24806660490966564
29,0.6539950088329188
30,0.6409094822991482
31,0.603690139340408
32,0.5168867969696794
33,0.8798655496536725
34,0.6157421003005171
35,0.47638044192823653
36,0.5348984268641338
37,0.5392372687000817
38,0.8633416528230706
39,0.42127655011682225
40,0.4596968752547476
41,0.43591120745659917
42,0.2103021878264853
43,0.2478645670066123
44,0.5010630101410449
45,0.5178263729062275
46,0.605400129365323
47,0.46759935982398143
48,0.45645114588316843
49,0.5561312793041195
50,0.49262184230753087
51,0.5064308894077765
52,0.57918263794433
53,0.6755681167531362
54,0.34362894804459454
55,0.4607061954949959
56,0.5122431429026917
57,0.661979580356902
58,0.6329795082451349
59,0.4954250064650911
60,0.16756130985558698
61,0.43867685047594707
62,0.6259036266940573
63,0.40658659197877656
64,0.49980981651738104
65,0.6898382942480079
66,0.7587285709076528
67,0.5930100843321363
68,0.27437877054958215
69,0.6987043340319558
70,0.5104270176069818
71,0.48347673398677127
72,0.5797568891719778
73,0.33793859648296787
74,0.368962200728458
75,0.7133366762563489
76,0.16631485770184123
77,0.6930464247327411
78,0.33574367558114504
79,0.53844137047344
80,0.5746999696482542
81,0.4177844938729463
82,0.40228102960732826
83,0.4456457118739496
84,0.582486630020163
85,0.8531636751306588
86,0.2550938407756903
87,0.7019646071453296
88,0.4546733374633796
89,0.4205801994600985
90,0.614323820781173
91,0.6315027551109913
92,0.47505755741389727
93,0.34076985747449945
94,0.33291790647847375
95,0.44447394376963495
96,0.6082028742262243
97,0.4140214072393346
98,0.5824878360595327
99,0.4079173772399396
100,0.635455705539962
